Car,price,details,post_date,mileage,enginetype,city,year,car,engine
"Mitsubishi Airtrek, 2.0 լ, 2004 թ., գազ","$7,100 ","Այնթապ, 2004 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",,2004 ,Այն,,Mitsubishi Airtrek,2.0 
"Mitsubishi Montero Sport, 3.5 լ, լիաքարշ, 2004 թ., գազ","$10,000 ","Դավիթաշեն, 2004 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",շե,2004 ,Դավի,,Mitsubishi Montero Sport,3.5 
"RAM 1500 փիքափ, 3.6 լ, լիաքարշ, 2019 թ., գազ","$50,000 ","Նոր Նորք, 2019 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 100,000 կ",Բենզին,Նոր Նորք,2019 ,RAM 1500 փիքափ,3.6 
"Hyundai Veloster հետչբեք, 1.6 լ, 2014 թ.","$7,700 ","Արմավիր, 2014 թ., 127,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 127,000 կ",Բենզին,Արմավիր,2014 ,Hyundai Veloster հետչբեք,1.6 
"VAZ (Lada) 2107, 1.6 լ, 2005 թ., գազ","$3,500 ","Աբովյան, 2005 թ., 130,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 130,000 կ",Բենզին,Աբովյան,2005 ,VAZ (Lada) 2107,1.6 
"Lexus GX460, 4.6 լ, լիաքարշ, 2022 թ.","$70,000 ","Նոր Նորք, 2022 թ., 15,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 15,000 կ",Բենզին,Նոր Նորք,2022 ,Lexus GX460,4.6 
"Toyota Camry, 3.5 լ, 2007 թ., գազ","$10,000 ","Շենգավիթ, 2007 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24", 2007 ,,Շենգավի,,Toyota Camry,3.5 
"Toyota Camry, 2.5 լ, 2019 թ.","$26,500 ","Աջափնյակ, 2019 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 50,000 կ",Բենզին,Աջափնյակ,2019 ,Toyota Camry,2.5 
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ, 1999 թ.","$3,600 ","Սևան, 1999 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 400,000 կ",Բենզին,Սևան,1999 ,Opel Astra հետչբեք,1.6 
"GAZ (ГАЗ) 24 Volga, 2.4 լ, 1992 թ., գազ","580,000 ֏ ","Էջմիածին, 1992 թ., 76,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 76,000 կ",Բենզին,Էջմիածին,1992 ,GAZ (ГАЗ) 24 Volga,2.4 
"Volkswagen Passat, 1.8 լ, 2002 թ., գազ","$5,000 ","Չարենցավան, 2002 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 230,000 կ",Բենզին,Չարենցավան,2002 ,Volkswagen Passat,1.8 
"BMW X5, 4.4 լ, լիաքարշ, 2002 թ., գազ","$9,000 ","Աշտարակ, 2002 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24",", 400,000 կ",Բենզին,Աշտարակ,2002 ,BMW X5,4.4 
"Nissan Teana, 2.3 լ, 2006 թ., գազ","2,400,000 ֏ ","Գորիս, 2006 թ., 125,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 125,000 կ",Բենզին,Գորիս,2006 ,Nissan Teana,2.3 
"VAZ (Lada) 2106, 1.6 լ, 2003 թ., գազ","900,000 ֏ ","Եղեգնաձոր, 2003 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 150,000 կ",Բենզին,Եղեգնաձոր,2003 ,VAZ (Lada) 2106,1.6 
"Kia Optima, 2.4 լ, 2019 թ.","$12,950 ","Էրեբունի, 2019 թ., 125,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 125,000 կ",Բենզին,Էրեբունի,2019 ,Kia Optima,2.4 
"Volkswagen Golf հետչբեք, 1.6 լ, 1998 թ., գազ","$4,000 ","Նորք Մարաշ, 1998 թ., 420,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 420,000 կ",Բենզին,Նորք Մարաշ,1998 ,Volkswagen Golf հետչբեք,1.6 
"Toyota Camry, 2.5 լ, 2010 թ., գազ","$9,600 ","Վանաձոր, 2010 թ., 270,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 270,000 կ",Բենզին,Վանաձոր,2010 ,Toyota Camry,2.5 
"Toyota Sequoia, 4.7 լ, լիաքարշ, 2001 թ., գազ","$13,500 ","Քանաքեռ Զեյթուն, 2001 թ., 174,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",ւ,2001 ,Քանաքեռ Զեյ,,Toyota Sequoia,4.7 
"Nissan Rogue, 1.5 լ, լիաքարշ, 2022 թ.","$26,000 ","Արմավիր, 2022 թ., 2000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",", 2000 մղո",Բենզին,Արմավիր,2022 ,Nissan Rogue,1.5 
"Kia Optima, 2.4 լ, 2019 թ., գազ","7,200,000 ֏ ","Մալաթիա Սեբաստիա, 2019 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23",ա Սեբաստի,2019 ,Մալա,,Kia Optima,2.4 
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$4,800 ","Ավան, 1999 թ., 288,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 288,000 կ",Բենզին,Ավան,1999 ,Opel Astra հետչբեք,1.6 
"Lexus RX, 3.5 լ, լիաքարշ, 2020 թ.","$62,000 ","Դավիթաշեն, 2020 թ., 57,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",շե,2020 ,Դավի,,Lexus RX,3.5 
"Kia Forte, 2.0 լ, 2018 թ., 2018 թ.","$9,000 Դիլեր","Ճանապարհին, 2018 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 50,000 մղո",Բենզին,Ճանապարհին,2018 ,Kia Forte,2.0 
"Mercedes-Benz E-Class, 3.5 լ, 2007 թ.","$14,000 ","Նոր Խարբերդ, 2007 թ., 90,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 90,000 կ",Բենզին,Նոր Խարբերդ,2007 ,Mercedes-Benz E-Class,3.5 
"BMW 3 Series, 2.2 լ, 2004 թ., գազ","$7,400 ","Գյումրի, 2004 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 200,000 կ",Բենզին,Գյումրի,2004 ,BMW 3 Series,2.2 
"BMW 5 Series, 2.5 լ, 1993 թ., գազ","$3,800 ","Էրեբունի, 1993 թ., 209,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 209,000 կ",Բենզին,Էրեբունի,1993 ,BMW 5 Series,2.5 
"Mercedes-Benz B-Class հետչբեք, 1.8 լ, 2011 թ.","$9,500 ","Էջմիածին, 2011 թ., 87,300 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 87,300 կ",Բենզին,Էջմիածին,2011 ,Mercedes-Benz B-Class հետչբեք,1.8 
"Ford Fusion (North America), 1.5 լ, 2020 թ.","$16,000 ","Քանաքեռ Զեյթուն, 2020 թ., 42,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",ւ,2020 ,Քանաքեռ Զեյ,,Ford Fusion (North America),1.5 
"Lexus RX, 3.0 լ, լիաքարշ, 2001 թ., գազ","$8,500 ","Արաբկիր, 2001 թ., 176,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 176,000 կ",Բենզին,Արաբկիր,2001 ,Lexus RX,3.0 
"VAZ (Lada) 2107, 1.7 լ, 2012 թ.","$5,200 ","Արմավիր, 2012 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22",", 190,000 կ",Բենզին,Արմավիր,2012 ,VAZ (Lada) 2107,1.7 
"Mercedes-Benz S-Class, 3.2 լ, 2000 թ., գազ","$8,500 ","Մալաթիա Սեբաստիա, 2000 թ., 85,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",ա Սեբաստի,2000 ,Մալա,,Mercedes-Benz S-Class,3.2 
"Lexus RX, 3.5 լ, 2010 թ., գազ","$18,500 Դիլեր","Ավան, 2010 թ., 140,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 140,000 մղո",Բենզին,Ավան,2010 ,Lexus RX,3.5 
"Lexus IS, 2.0 լ, 2017 թ.","$29,500 ","Արաբկիր, 2017 թ., 118,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 118,000 կ",Բենզին,Արաբկիր,2017 ,Lexus IS,2.0 
"Kia Forte, 2.0 լ, 2019 թ.","$16,900 ","Կենտրոն, 2019 թ., 44,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 44,000 մղո",Բենզին,Կենտրոն,2019 ,Kia Forte,2.0 
"Mercedes-Benz C-Class, 2.2 լ, 1995 թ., գազ","2,000,000 ֏ ","Կենտրոն, 1995 թ., 281,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 281,000 կ",Բենզին,Կենտրոն,1995 ,Mercedes-Benz C-Class,2.2 
"Lexus GX, 4.7 լ, լիաքարշ, 2007 թ., գազ","$23,000 ","Էջմիածին, 2007 թ., 160,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 160,000 կ",Բենզին,Էջմիածին,2007 ,Lexus GX,4.7 
"Hyundai Sonata, 2.4 լ, 2018 թ.","$16,400 ","Կենտրոն, 2018 թ., 105,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 105,000 կ",Բենզին,Կենտրոն,2018 ,Hyundai Sonata,2.4 
"Mazda CX-9, 3.7 լ, լիաքարշ, 2010 թ., գազ","$9,900 ","Փարաքար, 2010 թ., 150,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21",", 150,000 մղո",Բենզին,Փարաքար,2010 ,Mazda CX-9,3.7 
"Nissan Tiida, 1.5 լ, 2005 թ., գազ","$6,500 ","Շենգավիթ, 2005 թ., 165,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20", 2005 ,,Շենգավի,,Nissan Tiida,1.5 
"GAZ (ГАЗ) 3110 Volga, 2.1 լ, 2003 թ., գազ","450,000 ֏ ","Աշտարակ, 2003 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 180,000 կ",Բենզին,Աշտարակ,2003 ,GAZ (ГАЗ) 3110 Volga,2.1 
"Kia Optima, 2.4 լ, 2020 թ.","$20,500 ","Աջափնյակ, 2020 թ., 72,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 72,000 մղո",Բենզին,Աջափնյակ,2020 ,Kia Optima,2.4 
"Mercedes-Benz ML, 3.2 լ, լիաքարշ, 2001 թ., գազ","$8,500 Դիլեր","Աջափնյակ, 2001 թ., 149,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 149,000 մղո",Բենզին,Աջափնյակ,2001 ,Mercedes-Benz ML,3.2 
"Land Rover Discovery Sport, 2.0 լ, լիաքարշ, 2017 թ.","$30,000 ","Կենտրոն, 2017 թ., 46,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 46,000 կ",Բենզին,Կենտրոն,2017 ,Land Rover Discovery Sport,2.0 
"Opel Zafira, 1.6 լ, 2004 թ., գազ","$5,000 ","Քանաքեռ Զեյթուն, 2004 թ., 225,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",ւ,2004 ,Քանաքեռ Զեյ,,Opel Zafira,1.6 
"UAZ (УАЗ) 452, 2.6 լ, լիաքարշ, 1986 թ.","$8,200 Դիլեր","Ավան, 1986 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 100,000 կ",Բենզին,Ավան,1986 ,UAZ (УАЗ) 452,2.6 
"BMW 5 Series, 2.8 լ, լիաքարշ, 2016 թ.","$22,000 ","Նոր Նորք, 2016 թ., 115,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 115,000 կ",Բենզին,Նոր Նորք,2016 ,BMW 5 Series,2.8 
"Peugeot Bipper, 1.4 լ, 2011 թ.","$6,700 ","Ավան, 2011 թ., 210,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 210,000 կ",Բենզին,Ավան,2011 ,Peugeot Bipper,1.4 
"Toyota Corolla, 1.8 լ, 2017 թ., գազ","$16,800 ","Էրեբունի, 2017 թ., 70,880 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 70,880 մղո",Բենզին,Էրեբունի,2017 ,Toyota Corolla,1.8 
"Kia Forte, 2.0 լ, 2019 թ.","$14,500 ","Նոր Նորք, 2019 թ., 70,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 70,000 մղո",Բենզին,Նոր Նորք,2019 ,Kia Forte,2.0 
"Ford Explorer, 2.3 լ, լիաքարշ, 2020 թ.","$50,000 ","Գյումրի, 2020 թ., 17,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 17,000 մղո",Բենզին,Գյումրի,2020 ,Ford Explorer,2.3 
"Mercedes-Benz V-Class, 2.0 լ, դիզել, լիաքարշ, 2023 թ.","€115,000 ","Ճանապարհին, 2023 թ., 50 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 50 կ",Դիզել,Ճանապարհին,2023 ,Mercedes-Benz V-Class,2.0 
"Hyundai Elantra, 2.0 լ, 2019 թ.","$13,300 ","Կենտրոն, 2019 թ., 58,500 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 58,500 մղո",Բենզին,Կենտրոն,2019 ,Hyundai Elantra,2.0 
"BMW 3 Series, 2.0 լ, 2006 թ.","$6,100 ","Վայք, 2006 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",", 300,000 կ",Բենզին,Վայք,2006 ,BMW 3 Series,2.0 
"Mazda 3 հետչբեք, 2.3 լ, 2009 թ., գազ","$6,900 ","Մալաթիա Սեբաստիա, 2009 թ., 165,345 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20",ա Սեբաստի,2009 ,Մալա,,Mazda 3 հետչբեք,2.3 
"Mercedes-Benz C-Class ունիվերսալ, 2.0 լ, 1998 թ., գազ","$3,800 ","Էրեբունի, 1998 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 100,000 կ",Բենզին,Էրեբունի,1998 ,Mercedes-Benz C-Class ունիվերսա,
"Mercedes-Benz C-Class, 2.2 լ, 1996 թ., գազ","$4,100 ","Գյումրի, 1996 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 230,000 կ",Բենզին,Գյումրի,1996 ,Mercedes-Benz C-Class,2.2 
"VAZ (Lada) 2114 հետչբեք, 1.5 լ, 2006 թ., գազ","$2,900 ","Էրեբունի, 2006 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 200,000 կ",Բենզին,Էրեբունի,2006 ,VAZ (Lada) 2114 հետչբեք,1.5 
"BMW 5 Series, 2.5 լ, 2005 թ.","$7,000 ","Քանաքեռ Զեյթուն, 2005 թ., 202,330 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",ւ,2005 ,Քանաքեռ Զեյ,,BMW 5 Series,2.5 
"UAZ (УАЗ) Hunter, 2.7 լ, լիաքարշ, 2012 թ., գազ","$8,700 ","Վարդենիս, 2012 թ., 87,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 87,000 կ",Բենզին,Վարդենիս,2012 ,UAZ (УАЗ) Hunter,2.7 
"Toyota Alphard, 2.4 լ, 2012 թ.","$15,500 ","Աջափնյակ, 2012 թ., 70,055 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 70,055 կ",Բենզին,Աջափնյակ,2012 ,Toyota Alphard,2.4 
"BMW X5, 3.0 լ, լիաքարշ, 2004 թ., գազ","$8,500 ","Աշտարակ, 2004 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 300,000 կ",Բենզին,Աշտարակ,2004 ,BMW X5,3.0 
"Mazda 6, 2.5 լ, 2018 թ.","$15,500 ","Արմավիր, 2018 թ., 148,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 148,000 կ",Բենզին,Արմավիր,2018 ,Mazda 6,2.5 
"ErAZ 762 ունիվերսալ, 1991 թ., գազ","750,000 ֏ ","Շենգավիթ, 1991 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19", 1991 ,,Շենգավի,,ErAZ 762 ունիվերսա,
"VAZ (Lada) Kalina, 1.6 լ, 2005 թ., գազ","$2,500 ","Արմավիր, 2005 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 200,000 կ",Բենզին,Արմավիր,2005 ,VAZ (Lada) Kalina,1.6 
"Nissan Sentra, 2.0 լ, 2020 թ.","$13,300 ","Էրեբունի, 2020 թ., 56,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 56,000 կ",Բենզին,Էրեբունի,2020 ,Nissan Sentra,2.0 
"Mercedes-Benz ML, 3.5 լ, լիաքարշ, 2007 թ., գազ","$12,000 ","Էրեբունի, 2007 թ., 198,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 198,000 մղո",Բենզին,Էրեբունի,2007 ,Mercedes-Benz ML,3.5 
"Mercedes-Benz C-Class, 1.8 լ, 1994 թ., գազ","$3,499 ","Աջափնյակ, 1994 թ., 450,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 450,000 կ",Բենզին,Աջափնյակ,1994 ,Mercedes-Benz C-Class,1.8 
"Chevrolet Cruze հետչբեք, 1.4 լ, 2017 թ.","$9,600 ","Մալաթիա Սեբաստիա, 2017 թ., 74,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",ա Սեբաստի,2017 ,Մալա,,Chevrolet Cruze հետչբեք,1.4 
"Volkswagen Passat, 1.8 լ, 2001 թ.","$5,000 ","Սևան, 2001 թ., 178,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 178,000 կ",Բենզին,Սևան,2001 ,Volkswagen Passat,1.8 
"Toyota Camry, 2.5 լ, 2020 թ.","$27,500 ","Կենտրոն, 2020 թ., 83,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 83,000 կ",Բենզին,Կենտրոն,2020 ,Toyota Camry,2.5 
"Tesla Model Y, էլեկտրական, լիաքարշ, 2021 թ.","$41,000 Դիլեր","Աջափնյակ, 2021 թ., 19,700 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 19,700 կ",էլեկտրական,Աջափնյակ,2021 ,Tesla Model Y,էլեկտրական
"Mazda CX-5, 2.5 լ, լիաքարշ, 2022 թ.","$35,500 Դիլեր","Աջափնյակ, 2022 թ., 7000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19",", 7000 մղո",Բենզին,Աջափնյակ,2022 ,Mazda CX-5,2.5 
"BMW 2 Series կուպե, 2.0 լ, 2017 թ.","$24,300 ","Նոր Նորք, 2017 թ., 129,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 129,000 մղո",Բենզին,Նոր Նորք,2017 ,BMW 2 Series կուպե,2.0 
"Porsche Cayenne, 3.2 լ, լիաքարշ, 2005 թ., գազ","$11,000 ","Դիլիջան, 2005 թ., 269,860 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 269,860 կ",Բենզին,Դիլիջան,2005 ,Porsche Cayenne,3.2 
"Mercedes-Benz W124, 2.2 լ, դիզել, 1989 թ.","$2,600 ","Մալաթիա Սեբաստիա, 1989 թ., 267,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:18",ա Սեբաստի,1989 ,Մալա,,Mercedes-Benz W124,2.2 
"Toyota Land Cruiser, 4.5 լ, լիաքարշ, 1993 թ., գազ","$8,500 ","Դիլիջան, 1993 թ., 269,860 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 269,860 կ",Բենզին,Դիլիջան,1993 ,Toyota Land Cruiser,4.5 
"MINI Cooper S Countryman ունիվերսալ, 1.6 լ, լիաքարշ, 2012 թ.","$11,500 ","Կենտրոն, 2012 թ., 77,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 77,000 կ",Բենզին,Կենտրոն,2012 ,MINI Cooper S Countryman ունիվերսա,
"Volkswagen Touareg, 4.2 լ, լիաքարշ, 2004 թ., գազ","$7,500 ","Վանաձոր, 2004 թ., 275,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 275,000 կ",Բենզին,Վանաձոր,2004 ,Volkswagen Touareg,4.2 
"BMW 5 Series, 2.8 լ, 2000 թ., գազ","$6,500 ","Արգել, 2000 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 260,000 կ",Բենզին,Արգել,2000 ,BMW 5 Series,2.8 
"Kia Forte, 2.0 լ, 2017 թ.","$12,800 ","Էրեբունի, 2017 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 170,000 կ",Բենզին,Էրեբունի,2017 ,Kia Forte,2.0 
"Dodge Caravan, 3.6 լ, 2015 թ.","$14,000 ","Արգել, 2015 թ., 109,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 109,000 կ",Բենզին,Արգել,2015 ,Dodge Caravan,3.6 
"Opel Vectra, 2.0 լ, 1995 թ., գազ","500,000 ֏ ","Տաշիր, 1995 թ., 277,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 277,000 կ",Բենզին,Տաշիր,1995 ,Opel Vectra,2.0 
"Kia Optima, 2.4 լ, 2017 թ.","$12,000 Դիլեր","Էրեբունի, 2017 թ., 110 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 110 մղո",Բենզին,Էրեբունի,2017 ,Kia Optima,2.4 
"Kia Forte կուպե, 2.4 լ, 2010 թ.","$7,800 Դիլեր","Էրեբունի, 2010 թ., 92,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 92,000 մղո",Բենզին,Էրեբունի,2010 ,Kia Forte կուպե,2.4 
"Porsche Cayenne, 3.2 լ, լիաքարշ, 2005 թ., գազ","$13,500 ","Աբովյան, 2005 թ., 199,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 199,000 կ",Բենզին,Աբովյան,2005 ,Porsche Cayenne,3.2 
"Toyota Alphard, 2.4 լ, 2005 թ.","$14,800 ","Աշտարակ, 2005 թ., 103,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18",", 103,000 կ",Բենզին,Աշտարակ,2005 ,Toyota Alphard,2.4 
"Kia Optima, 2.4 լ, 2019 թ.","$14,000 Դիլեր","Կենտրոն, 2019 թ., 55,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 55,000 մղո",Բենզին,Կենտրոն,2019 ,Kia Optima,2.4 
"Kia Forte, 2.0 լ, 2019 թ.","$17,000 ","Աբովյան, 2019 թ., 41,600 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 41,600 մղո",Բենզին,Աբովյան,2019 ,Kia Forte,2.0 
"Kia Optima, 2.4 լ, 2019 թ.","$14,000 Դիլեր","Մալաթիա Սեբաստիա, 2019 թ., 65,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",ա Սեբաստի,2019 ,Մալա,,Kia Optima,2.4 
"VAZ (Lada) Priora, 1.6 լ, 2011 թ., գազ","$4,500 Դիլեր","Էջմիածին, 2011 թ., 650,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 650,000 կ",Բենզին,Էջմիածին,2011 ,VAZ (Lada) Priora,1.6 
"VAZ (Lada) Priora, 1.6 լ, 2016 թ., գազ","$5,800 Դիլեր","Էջմիածին, 2016 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 190,000 կ",Բենզին,Էջմիածին,2016 ,VAZ (Lada) Priora,1.6 
"VAZ (Lada) Priora հետչբեք, 1.6 լ, 2011 թ.","$7,000 Դիլեր","Էջմիածին, 2011 թ., 56,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 56,000 կ",Բենզին,Էջմիածին,2011 ,VAZ (Lada) Priora հետչբեք,1.6 
"Toyota Yaris հետչբեք, 1.5 լ, 2013 թ.","$13,000 ","Էրեբունի, 2013 թ., 7700 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 7700 մղո",Բենզին,Էրեբունի,2013 ,Toyota Yaris հետչբեք,1.5 
"Honda Accord, 1.5 լ, 2021 թ.","$34,000 Դիլեր","Մասիս, 2021 թ., 2453 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 2453 մղո",Բենզին,Մասիս,2021 ,Honda Accord,1.5 
"Mazda CX-9, 2.5 լ, լիաքարշ, 2022 թ.","$35,000 Շտապ","Արաբկիր, 2022 թ., 6100 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 6100 մղո",Բենզին,Արաբկիր,2022 ,Mazda CX-9,2.5 
"VAZ (Lada) Priora, 1.6 լ, 2016 թ.","$5,100 Դիլեր","Էջմիածին, 2016 թ., 42,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 42,000 կ",Բենզին,Էջմիածին,2016 ,VAZ (Lada) Priora,1.6 
"GAZ (ГАЗ) ГАЗель, 2.7 լ, 2004 թ., գազ","1,250,000 ֏ ","Արտաշատ, 2004 թ., 10,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17",", 10,000 կ",Բենզին,Արտաշատ,2004 ,GAZ (ГАЗ) ГАЗель,2.7 
"Volkswagen ID.3 հետչբեք, էլեկտրական, 2022 թ.","$19,900 Դիլեր","Քանաքեռ Զեյթուն, 2022 թ., 15 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:17",ւ,2022 ,Քանաքեռ Զեյ,,Volkswagen ID.3 հետչբեք,էլեկտրական
