Car,price,details,post_date
"BMW 5 Series, 3.0 լ, 2005 թ., գազ","3,550,000 ֏ ","Աշտարակ, 2005 թ., 240,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mercedes-Benz C-Class, 2.2 լ, 1995 թ., գազ","$7,500 ","Արտաշատ, 1995 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mercedes-Benz CLK-Class կուպե, 2.3 լ, 2000 թ.","$6,500 ","Նոր Նորք, 2000 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Opel Vectra, 2.0 լ, 1994 թ., գազ","800,000 ֏ ","Արտաշատ, 1994 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Chevrolet Malibu, 1.5 լ, 2017 թ.","$13,500 ","Աբովյան, 2017 թ., 164,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Opel Vectra, 1.6 լ, 1998 թ., գազ","$2,500 ","Էջմիածին, 1998 թ., 632,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"BMW X3, 2.0 լ, լիաքարշ, 2016 թ.","$24,000 Շտապ!Դիլեր","Մալաթիա Սեբաստիա, 2016 թ., 128,425 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Ford Transit, 2.4 լ, դիզել, 2001 թ.","$10,000 ","Աշտարակ, 2001 թ., 260,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Jeep Compass, 2.4 լ, լիաքարշ, 2017 թ.","$16,000 ","Ոսկեվազ, 2017 թ., 59,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"BMW X2, 2.0 լ, լիաքարշ, 2020 թ.","$38,900 Դիլեր","Մալաթիա Սեբաստիա, 2020 թ., 39,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2018 թ.","$25,000 Դիլեր","Ռուսաստան, 2018 թ., 73,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Acura RDX, 2.0 լ, լիաքարշ, 2021 թ.","$42,000 Դիլեր","Էջմիածին, 2021 թ., 18,900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Mazda 3, 2.5 լ, 2019 թ.","$23,700 ","Աջափնյակ, 2019 թ., 59,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Nissan Xterra, 4.0 լ, լիաքարշ, 2006 թ., գազ","$10,000 ","Արտաշատ, 2006 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Nissan Altima, 2.5 լ, 2017 թ., գազ","$16,800 ","Կենտրոն, 2017 թ., 89,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Tesla Model S, էլեկտրական, 2013 թ.","$33,000 ","Նոր Նորք, 2013 թ., 130,000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Hyundai Sonata, 2.4 լ, 2009 թ., գազ","$8,000 ","Քանաքեռ Զեյթուն, 2009 թ., 112,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Hyundai Sonata, 2.4 լ, 2019 թ.","$16,300 ","Կենտրոն, 2019 թ., 34,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52"
"Mazda 6, 1.8 լ, 2010 թ., գազ","$8,000 ","Քանաքեռ Զեյթուն, 2010 թ., 130,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Hyundai Sonata, 2.4 լ, 2017 թ.","$13,500 ","Կենտրոն, 2017 թ., 67,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Dodge Charger, 3.6 լ, 2017 թ.","$22,000 ","Կենտրոն, 2017 թ., 105,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Hyundai Sonata, 2.4 լ, 2019 թ.","$14,900 ","Նոր Նորք, 2019 թ., 61,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"VAZ (Lada) 2107, 1.6 լ, 2010 թ., գազ","$5,300 ","Արտաշատ, 2010 թ., 48,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Nissan Altima, 2.5 լ, 2006 թ., գազ","$5,700 ","Ավան, 2006 թ., 145,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Mitsubishi Pajero IO, 1.8 լ, լիաքարշ, 1999 թ., գազ","$3,200 ","Վանաձոր, 1999 թ., 318,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Dodge Challenger կուպե, 3.6 լ, 2023 թ.","$34,000 ","Շենգավիթ, 2023 թ., 3800 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Toyota Camry, 2.5 լ, 2021 թ.","$25,600 ","Շենգավիթ, 2021 թ., 38,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Mazda 3, 2.5 լ, 2011 թ.","$9,000 ","Աբովյան, 2011 թ., 140,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Lexus RX, 3.5 լ, հիբրիդ, լիաքարշ, 2022 թ.","$90,000 ","Աբովյան, 2022 թ., 341 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"VAZ (Lada) 2107, 1.7 լ, 2011 թ., գազ","$3,400 ","Արտաշատ, 2011 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Infiniti QX4, 3.5 լ, լիաքարշ, 2002 թ., գազ","3,500,000 ֏ ","Դավիթաշեն, 2002 թ., 234,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Mercedes-Benz B-Class հետչբեք, 2.0 լ, 2006 թ.","$8,500 ","Արաբկիր, 2006 թ., 126,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Lexus RX, 3.5 լ, լիաքարշ, 2013 թ.","$24,000 ","Աջափնյակ, 2013 թ., 77,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"BMW 4 Series կուպե, 3.0 լ, 2022 թ.","$72,000 Դիլեր","Աջափնյակ, 2022 թ., 6000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Toyota C-HR, 2.0 լ, 2019 թ.","$20,500 Դիլեր","Աջափնյակ, 2019 թ., 49,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"MINI Cooper հետչբեք, 1.6 լ, 2012 թ.","$10,500 Դիլեր","Աջափնյակ, 2012 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Toyota Highlander, 3.5 լ, լիաքարշ, 2014 թ.","$30,000 Դիլեր","Աջափնյակ, 2014 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51"
"Hyundai Sonata, 2.0 լ, հիբրիդ, 2015 թ., գազ","$12,300 ","Շենգավիթ, 2015 թ., 144,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Fiat 500 հետչբեք, 1.4 լ, 2018 թ.","$10,500 Դիլեր","Մալաթիա Սեբաստիա, 2018 թ., 58,500 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Mazda 3, 2.5 լ, 2023 թ.","$19,999 ","Արմավիր, 2023 թ., 5800 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"BMW 5 Series, 2.0 լ, 2013 թ.","$11,000 ","Վրաստան, 2013 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Mazda CX-9, 2.5 լ, լիաքարշ, 2022 թ.","$38,500 ","Ավան, 2022 թ., 4900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Nissan Primera, 1.8 լ, 1999 թ., գազ","$3,500 ","Սիսավան, 1999 թ., 285,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Kia Rio, 1.6 լ, 2012 թ.","$8,000 ","Ավան, 2012 թ., 87,907 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Volkswagen Golf հետչբեք, 1.8 լ, 1997 թ., գազ","$3,400 ","Գյումրի, 1997 թ., 157,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$5,000 ","Արաբկիր, 1998 թ., 168,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Ford Transit, դիզել, 1999 թ.","$3,500 ","Նոր Նորք, 1999 թ., 25,800 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Mercedes-Benz CLS-Class, 5.0 լ, 2006 թ., գազ","$13,300 ","Նոր Նորք, 2006 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Nissan Tiida հետչբեք, 1.5 լ, 2005 թ., գազ","$6,000 ","Կենտրոն, 2005 թ., 155,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Toyota Camry, 2.5 լ, 2010 թ., գազ","$10,900 ","Կենտրոն, 2010 թ., 220,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"BMW 7 Series, 4.4 լ, 2014 թ.","$14,000 ","Կենտրոն, 2014 թ., 140,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2005 թ., գազ","$7,500 ","Պռոշյան, 2005 թ., 163,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"GAZ (ГАЗ) 3110 Volga, 2.1 լ, 2003 թ., գազ","390,000 ֏ ","Սիսավան, 2003 թ., 128,388 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Ford Transit, 3.5 լ, հիբրիդ, լիաքարշ, 2001 թ., գազ","$5,900 Հնարավոր է փոխանակում","Արագած, 2001 թ., 223,700 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Mercedes-Benz E-Class, 3.2 լ, 2003 թ., գազ","$10,500 ","Էջմիածին, 2003 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Opel Vectra, 1.8 լ, 1997 թ., գազ","200,000 ֏ Շտապ!Դիլեր","Էջմիածին, 1997 թ., 174,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Opel Astra հետչբեք, 1.6 լ, 2000 թ., գազ","$5,000 ","Ավան, 2000 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50"
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$5,000 ","Արաբկիր, 1998 թ., 168,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Toyota Camry, 2.5 լ, 2018 թ.","$21,000 ","Մալաթիա Սեբաստիա, 2018 թ., 81,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Toyota Ist հետչբեք, 1.5 լ, 2006 թ.","2,700,000 ֏ ","Կենտրոն, 2006 թ., 144,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Lexus RX, 3.5 լ, լիաքարշ, 2021 թ.","24,000,000 ֏ ","Էջմիածին, 2021 թ., 18,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Kia Optima, 2.4 լ, 2017 թ.","$10,500 ","Մալաթիա Սեբաստիա, 2017 թ., 70,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Hyundai Elantra, 2.0 լ, 2017 թ.","$12,500 ","Էջմիածին, 2017 թ., 101,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49"
"Mercedes-Benz CLK-Class կուպե, 2.0 լ, 1998 թ., գազ","$6,000 ","Ստեփանավան, 1998 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Honda Pilot, 3.5 լ, լիաքարշ, 2012 թ.","$16,000 Դիլեր","Քանաքեռ Զեյթուն, 2012 թ., 156,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2001 թ., գազ","$5,700 ","Ավան, 2001 թ., 195,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Tesla Model 3, էլեկտրական, լիաքարշ, 2020 թ.","$40,500 Դիլեր","Ռուսաստան, 2020 թ., 8000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Opel Vectra, 1.8 լ, 2001 թ., գազ","$4,200 ","Վանաձոր, 2001 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Honda Pilot, 3.5 լ, լիաքարշ, 2022 թ.","$27,500 Դիլեր","Ավան, 2022 թ., 3203 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Opel Astra, 1.6 լ, 1998 թ., գազ","$4,300 ","Աշտարակ, 1998 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Volkswagen Golf հետչբեք, 1.6 լ, 1997 թ., գազ","$2,500 ","Լուսառատ, 1997 թ., 114,061 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"VAZ (Lada) 2110, 1.6 լ, 2005 թ., գազ","$3,500 ","Ծակքար, 2005 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Nissan Sentra, 1.8 լ, 2018 թ.","$12,700 ","Աշտարակ, 2018 թ., 37,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Volkswagen Golf հետչբեք, 1.8 լ, 1995 թ., գազ","1,100,000 ֏ ","Դիլիջան, 1995 թ., 280,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Hyundai Elantra, 1.8 լ, 2011 թ., գազ","$8,900 ","Շենգավիթ, 2011 թ., 144,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"VAZ (Lada) 2104 ունիվերսալ, 1.7 լ, 2012 թ.","500,000 ₽ ","Ալավերդի, 2012 թ., 78,700 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48"
"Mercedes-Benz E-Class AMG, 3.0 լ, 2007 թ., գազ","$11,500 ","Աջափնյակ, 2007 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Ford Focus հետչբեք, 2.0 լ, 2018 թ.","$9,000 ","Կենտրոն, 2018 թ., 142,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Hyundai Elantra, 2.0 լ, 2019 թ., գազ","$17,000 ","Աբովյան, 2019 թ., 52,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Nissan Sentra, 1.8 լ, 2017 թ., գազ","$11,900 ","Կենտրոն, 2017 թ., 115,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"BYD F3, 1.5 լ, 2011 թ., գազ","$2,500 ","Կենտրոն, 2011 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Hyundai Tucson, 2.4 լ, 2019 թ.","$28,000 ","Աբովյան, 2019 թ., 70,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Toyota Camry, 2.5 լ, 2009 թ., գազ","$12,700 ","Մալաթիա Սեբաստիա, 2009 թ., 166,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Mercedes-Benz E-Class, 3.2 լ, 2000 թ., գազ","$11,500 ","Արթիկ, 2000 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Chevrolet Volt հետչբեք, 1.5 լ, հիբրիդ, 2017 թ.","$17,500 ","Աջափնյակ, 2017 թ., 140,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Chevrolet Volt հետչբեք, 1.5 լ, հիբրիդ, 2016 թ.","$12,500 Դիլեր","Գորիս, 2016 թ., 150,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Honda CR-V, 2.4 լ, լիաքարշ, 2010 թ., գազ","$13,500 ","Աջափնյակ, 2010 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Mercedes-Benz A-Class հետչբեք, 2.0 լ, 2005 թ.","$5,500 ","Արտաշատ, 2005 թ., 123,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Toyota Corolla, 1.8 լ, 2009 թ., գազ","$11,500 ","Կենտրոն, 2009 թ., 165,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"VAZ (Lada) 2121 (4x4), 1.7 լ, լիաքարշ, 2018 թ.","$9,300 Դիլեր","Գորիս, 2018 թ., 70,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Chevrolet Camaro կուպե, 3.6 լ, 2011 թ.","$18,000 Դիլեր","Գորիս, 2011 թ., 118,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Toyota RAV4, 2.5 լ, 2018 թ.","$21,500 Դիլեր","Էրեբունի, 2018 թ., 36,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Ford Escape, 1.5 լ, լիաքարշ, 2019 թ.","$18,500 Դիլեր","Գորիս, 2019 թ., 121,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Toyota Camry, 2.5 լ, 2018 թ.","$22,700 ","Չարենցավան, 2018 թ., 110,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Nissan Teana, 2.5 լ, 2005 թ., գազ","$5,500 ","Արաբկիր, 2005 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Chevrolet Malibu, 1.5 լ, 2017 թ.","$12,000 ","Աբովյան, 2017 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Mercedes-Benz E-Class, 3.5 լ, լիաքարշ, 2008 թ., գազ","$9,000 ","Արաբկիր, 2008 թ., 168,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Subaru Forester, 2.5 լ, լիաքարշ, 2021 թ.","$19,900 ","Ավան, 2021 թ., 34,319 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"Chevrolet Volt, 1.4 լ, հիբրիդ, 2013 թ.","$10,200 ","Շենգավիթ, 2013 թ., 170,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:47"
"BMW X6, 4.4 լ, լիաքարշ, 2010 թ.","$20,000 ","Արաբկիր, 2010 թ., 123,321 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Volkswagen Tiguan, 2.0 լ, 2008 թ.","$8,800 ","Նոր Նորք, 2008 թ., 229,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"BMW 5 Series, 3.0 լ, լիաքարշ, 2013 թ.","$19,500 ","Կենտրոն, 2013 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Opel Astra, 1.6 լ, 1998 թ., գազ","$3,500 ","Արաբկիր, 1998 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Hyundai Equus, 5.0 լ, 2014 թ.","$21,000 ","Կենտրոն, 2014 թ., 133,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Ford Fusion (North America), 2.5 լ, 2017 թ.","$14,000 ","Կենտրոն, 2017 թ., 148,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Ford Transit Connect, 2.5 լ, 2017 թ.","$13,800 Դիլեր","Արտաշատ, 2017 թ., 150,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Kia Sportage, 2.4 լ, լիաքարշ, 2016 թ.","$13,500 Դիլեր","Արտաշատ, 2016 թ., 65,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Mazda 6, 2.5 լ, 2016 թ.","$12,000 ","Արաբկիր, 2016 թ., 145,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Jeep Cherokee, 3.2 լ, լիաքարշ, 2019 թ.","$19,500 ","Կենտրոն, 2019 թ., 40,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"BMW X5, 3.0 լ, լիաքարշ, 2005 թ., գազ","$11,300 ","Արմավիր, 2005 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"VAZ (Lada) 2101, 1.3 լ, 1979 թ., գազ","$2,000 ","Մասիս, 1979 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"VAZ (Lada) 2114 հետչբեք, 1.6 լ, 2008 թ., գազ","$4,000 ","Մասիս, 2008 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"Nissan Tiida հետչբեք, 1.5 լ, 2008 թ.","$6,000 ","Նոր Նորք, 2008 թ., 69,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:46"
"VAZ (Lada) 2110, 1.6 լ, 2006 թ., գազ","$3,800 ","Արտաշատ, 2006 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:45"
"BMW 3 Series, 2.5 լ, 2006 թ., գազ","$8,300 ","Նորաբաց, 2006 թ., 245,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:45"
"VAZ (Lada) 2113 հետչբեք, 1.6 լ, 2007 թ.","650,000 ֏ ","Նորաբաց, 2007 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:45"
"GAZ (ГАЗ) 21 Volga, 2.4 լ, 1967 թ., գազ","650,000 ֏ ","Սպիտակ, 1967 թ., 20,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:45"
"VAZ (Lada) 2110, 1.6 լ, 2005 թ., գազ","850,000 ֏ ","Աբովյան, 2005 թ., 140,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:45"
"Toyota Camry, 2.5 լ, 2022 թ.","$23,500 ","Արտաշատ, 2022 թ., 3600 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Kia Optima, 2.4 լ, 2017 թ.","$18,000 ","Արտաշատ, 2017 թ., 9000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2021 թ.","$28,300 Դիլեր","Նոր Նորք, 2021 թ., 13,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mercedes-Benz ML լիմուզին, 2.7 լ, դիզել, լիաքարշ, 2003 թ.","$12,300 ","Գորիս, 2003 թ., 230,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mercedes-Benz ML ունիվերսալ, 2.7 լ, դիզել, լիաքարշ, 2003 թ.","$12,300 ","Գորիս, 2003 թ., 230,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Honda Odyssey (North America), 3.5 լ, 2006 թ., գազ","$9,500 ","Գյումրի, 2006 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Toyota RAV4, 2.5 լ, լիաքարշ, 2016 թ.","$21,500 ","Աջափնյակ, 2016 թ., 83,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Hyundai Sonata, 1.6 լ, 2020 թ.","$26,500 ","Արմավիր, 2020 թ., 65,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Ford Mustang կուպե, 2.3 լ, 2018 թ.","$22,900 ","Աջափնյակ, 2018 թ., 56,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mercedes-Benz G-Class, 5.0 լ, լիաքարշ, 2008 թ., գազ","$49,000 ","Կենտրոն, 2008 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Toyota Corolla, 1.8 լ, 2013 թ., գազ","$13,200 ","Քանաքեռ Զեյթուն, 2013 թ., 117,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Hyundai Elantra, 1.8 լ, 2014 թ., գազ","$10,300 ","Նոր Նորք, 2014 թ., 90,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"BMW 7 Series, 5.0 լ, լիաքարշ, 2010 թ.","$16,000 ","Նոր Նորք, 2010 թ., 160,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Toyota Camry, 2.5 լ, 2021 թ.","$38,000 ","Բյուրեղավան, 2021 թ., 17,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$4,500 ","Աբովյան, 1999 թ., 197,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Nissan Frontier փիքափ, 4.0 լ, լիաքարշ, 2013 թ.","$26,000 ","Շենգավիթ, 2013 թ., 95,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Opel Zafira, 2.2 լ, 2003 թ., գազ","$7,500 ","Արագածավան, 2003 թ., 207,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Ford Fusion (North America), 2.5 լ, 2012 թ., գազ","$7,500 ","Դավիթաշեն, 2012 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mitsubishi Outlander Sport, 2.0 լ, 2018 թ.","$17,500 ","Մալաթիա Սեբաստիա, 2018 թ., 60,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2008 թ., գազ","$8,000 ","Դավիթաշեն, 2008 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:44"
"Mercedes-Benz CLS-Class, 5.0 լ, 2006 թ., գազ","$11,000 ","Չարենցավան, 2006 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
